property_id,host_id,host_name,host_img_url,host_verifications
11156,1,Link,http://127.0.0.1:5000/uploads/?img_name=h1.png,"['email', 'phone', 'reviews']"
12351,1,Link,http://127.0.0.1:5000/uploads/?img_name=h1.png,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'offline_government_id', 'government_id', 'work_email']"
15253,1,Link,http://127.0.0.1:5000/uploads/?img_name=h1.png,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
44545,1,Link,http://127.0.0.1:5000/uploads/?img_name=h1.png,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
57183,1623151,Susan,https://a0.muscache.com/im/users/1623151/profile_pic/1401480385/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'government_id']"
58506,279955,John,https://a0.muscache.com/im/pictures/user/dd4ec6fe-7878-4d43-a9ff-d58f719597a8.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
61721,299170,Eilish,https://a0.muscache.com/im/users/299170/profile_pic/1296558246/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'reviews']"
65126,318390,Nicolette,https://a0.muscache.com/im/pictures/user/5c245fb7-5847-4631-8305-e0521f0bf899.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'work_email']"
66009,322887,Belinda,https://a0.muscache.com/im/pictures/user/33cc7fc1-2f8d-43b9-8e8c-d75ce38a9673.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id']"
66158,323771,Maxine,https://a0.muscache.com/im/users/323771/profile_pic/1387541848/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'google', 'reviews', 'kba']"
69121,345292,Pamela,https://a0.muscache.com/im/users/345292/profile_pic/1296173550/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'government_id']"
69956,352614,Ben,https://a0.muscache.com/im/users/352614/profile_pic/1305188360/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']"
71866,292913,Maz,https://a0.muscache.com/im/pictures/user/38a75c29-868b-48b0-bb8b-19ba58c7f0b7.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']"
73628,385108,Dan,https://a0.muscache.com/im/pictures/user/a447945f-585a-4fc2-bd8c-5ae097510a25.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'reviews', 'jumio', 'offline_government_id', 'government_id']"
73639,17061,Stuart,https://a0.muscache.com/im/users/17061/profile_pic/1425534501/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'offline_government_id', 'government_id', 'work_email']"
75702,402292,Helen,https://a0.muscache.com/im/users/402292/profile_pic/1397168958/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews', 'jumio', 'government_id']"
79624,429171,Jude,https://a0.muscache.com/im/users/429171/profile_pic/1391041342/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'reviews']"
79912,431242,Karen,https://a0.muscache.com/im/pictures/user/8dead74f-7cc1-4514-afd8-7af20551b663.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'google', 'reviews', 'jumio', 'offline_government_id', 'government_id', 'work_email']"
86853,476047,Ann,https://a0.muscache.com/im/users/476047/profile_pic/1389556540/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'facebook', 'reviews', 'offline_government_id', 'selfie', 'government_id', 'identity_manual']"
87709,480315,Marianne,https://a0.muscache.com/im/users/480315/profile_pic/1301818254/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews', 'work_email']"
103273,172878,Christopher,https://a0.muscache.com/im/users/172878/profile_pic/1279607813/original.jpg?aki_policy=profile_x_medium,"['phone', 'reviews', 'jumio', 'government_id']"
104380,543277,Joseph,https://a0.muscache.com/im/users/543277/profile_pic/1304042390/original.jpg?aki_policy=profile_x_medium,"['email', 'phone', 'reviews']"
