property_id,title,property_type,price,amenities,accommodates,bedrooms,bathrooms,minimum_nights,description,notes,house_rules
11156,An Oasis in the City,Apartment,$65.00,"{TV,Kitchen,Elevator,Washer,""Smoke detector"",""Hair dryer"",Microwave,Refrigerator,Dishwasher,Stove}",1,1,1,2,"Very central to the city which can be reached by an easy walk or by bus, with transport at the door, if required, and all amenities within easy reach. Potts Pt. is a vibrant  and popular inner-city suburb & the area was described as 'Australia's Bohemian Heart' in the article by Raymond Bonner in the New York Times . Ultra-convenient & within walking distance of the central business district  & all tourist sites such as:  the Botanic Gardens,  Opera House,  NSW Art Gallery,  Australian Museum,   Circular Quay, the Sydney Opera House, and BridgeClimb Darling Harbour Museum of Contemporary Art Art Gallery of NSW Sydney Museum Hyde Park Botanic Gardens Chinatown, Paddy's Markets, and the Chinese Gardens Paddington (& the Saturday markets) The historic Rocks area (& the markets on Saturday & Sunday) It is 7 minutes walk to the Kings Cross.train (Metro) station & buses to the beaches .  Bus to/from city leaves from across the road (and it takes about 15-20 minutes to walk to Circular  Quay","$150.00 key security deposit, refundable on return of  rhe keys.    The Supermarket, 100 metres up the road, is open until midnight and has free wifi and the  Library is 10 minutes up the road and has free WiFi, as do many cafes etc. On Sunday travel on the Opal travel card (covering buses, trains and ferries) costs a maximum of $2.50, a great bargain.",Be considerate.   No showering after 2330h.
12351,Sydney City,House,"$1,435.00","{TV,Internet,Wifi,""Air conditioning"",""Paid parking off premises"",""Smoke detector"",""First aid kit"",""Safety card"",""Hair dryer"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove}",2,1,1.0,2,"Come stay with Vinh & Stuart (Awarded as one of Australia's top hosts by Airbnb CEO Brian Chesky & key shareholder Ashton Kutcher. We're Sydney's #1 reviewed hosts too). Find out why we've been positively reviewed 500+ times. Message us and talk first BEFORE you make any reservation request - And please read our listing to the end (hint hint). Everything you need to know is there. We're pretty relaxed hosts, and we fully appreciate staying with someone else, in their home home, is not for every-one. This is not a business, or a hotel. We're casual Airbnb hosts, not hoteliers. If you're just looking for an alternative to an expensive hotel, then we're not for you. Here you'll be treated in the same way we treat family & friends when they stay. So... no fluffy bathrobes... Please say hello and message us *BEFORE* you make your reservation request... It'll help speed things up, and smooth things out... Please read our listing all the way to the end. It will make getting a confirmed reserv","We've a few reasons for the 6.00pm arrival time / check in / bag drop time... One of them is that we're really flexible with check out times. :) While we do work from home, we don't particularly want to broadcast on the internet if we are away from home. That's why our arrival time is always listed as 6pm. Our ""check in"" / ""arrival time"" / ""bag drop"" is all the same thing. It's not like we're a hotel with a team of porters waiting to take your bags any time of the day or night whether we're at home or not. So, if we haven't agreed some alternate arrangements, then we look forward to welcoming you to our home at 6.00pm. While we may be able to arrange some arrival times / bag drops / check ins earlier, we do need to make those arrangements well in advance. So if the 6.00pm check in time isn't your preference, please talk to us about it *before* you make your reservation. :)","We look forward to welcoming you to stay you just as we would our family and friends. ""Farm Gate Rules"" - if a door is open, leave it open, if a door is closed, please leave it closed.  We'd ask that you'd please not eat in your room, or smoke inside the house. We've a kitchen and dining room for meals (and of course, feel free to use the fridge) and a sheltered, undercover area outside that you're more than welcome to use if you smoke. We tend to work from home, meet clients in our home office, and work by phone too. So this means that our home would be better suited to guests wanting to be out sightseeing during the day, rather than spending the days inside. (But why would you want to stay inside all day when there's so much to see and do anyway?) Every experience we've ever had with Airbnb has been a positive one. Whether we've been hosting, or staying as guests, we've met kind & considerate people, had interesting conversations, and made great new acquaintances & friends. We don't "
15253,Unique Apartment ,Apartment,$100.00,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Pets allowed"",Dog(s),""Free street parking"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove}",2,1,1.0,2,"Penthouse living at it best ... You will be staying in a unique apartment on the top floor of a centrally located boutique building.  As the apartment is spread over 2 levels guests have a high level of privacy and security. The room has its own bathroom, balcony, fridge, coffee station and the whole apartment is furnished to a luxury standard in a contemporary designer style with all mod cons.  Location is one of the best in the city with easy walking to everything you may need. A charming two-level, two-bedroom, two-bathroom duplex apartment on the border of East Sydney, Darlinghurst and Kings Cross with everything that Sydney has to offer within easy walking distance: Sydney CBD 10mins, Hyde Park 5 mins, Oxford St 10 mins, Kings Cross 5mins  The apartment is spacious, elegantly decorated in a modern contemporary style and very well equipped with all mod cons. This is an older style apartment with character and charm. It is not all shiny and new.  The room is situated on the lower fl","The apartment is on the top floor with 4 flights of stairs to walk and there is NO lift, it is great for working out your legs but not really suitable for anyone with mobility/fitness challenges, also the apartment is not suitable for a young child.  If you want to want more information or have a burning question please message me and I will endeavour to come back to you within 24hrs.",I am fairly easygoing and will try to accomodate guests reasonable requests.  I ask that guest treat my home with respect.  No Smoking inside of Apartment  No additional overnight guests.
44545,Darlinghurst Warehouse Apartment,Apartment,$129.00,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Hair dryer"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,Oven,Stove}",2,1,1.0,3,"Sunny warehouse/loft apartment in the heart of one of Sydney's best neighbourhoods. Located on the corner of two iconic Darlinghurst streets famous for laneway bars and eateries, and just footsteps to equally amazing Surry Hills and Potts Point. Walk through beautiful parks to the city in less than 10 mins, the opera house in 20 and access Bondi Beach easily via the bus stop directly in front of the building. My apartment is a beautiful, simple, open plan / one bedroom loft with soaring high ceilings and hardwood floors that hint at it's previous life as a printing factory in the 1940s. It has huge windows that flood the space with glorious sunshine throughout the day and provide a refreshing breeze during summer.  A few key features: * Wireless harman/kardon aura stereo system so you can stream your music wirelessly from any bluetooth device * Internal laundry with washer and dryer * The kitchen is equipped with gas cooking, microwave, a dishwasher and the basics for preparing meals a","I am the owner of this property, so you can be assured that it is not being sub-let. The apartment is clean, functional and furnished with stylish pieces and contemporary artwork. But it is not new and is therefore priced to reflect what it is. While Darlinghurst is one of Sydney's more bustling neighbourhoods, the apartment is located at the rear of the building and so enjoys a relatively quiet position. Once in a while my neighbour's might have a weekend party. As this is my home, I have some of my belongings in the space, however the wardrobe is clear for you to hang your clothes and make yourself feel at home. The air-conditioner is a portable unit, and so is really intended for extreme weather and should not be used continually. As light sleepers may find it too loud there is also a quiet fan in the bedroom for hot nights. GUEST REQUIREMENTS I request all guests verify their identity with Airbnb's offline ID verification process. It is really quick and easy to do! See airbnb.com/v","I kindly request you treat my apartment, my neighbours and the environment with respect and care by following these rules: - No smoking. Not anywhere in the apartment. Not even out of the window.  - No parties. This means, no big groups of visitors in the apartment and no more than two adults are permitted to sleep in the apartment.  - Keep music and noise to a minimum. No sound should be audible from outside of the apartment between 10pm - 7.30am Sunday through to Thursday inclusive, and 11pm - 8am Friday and Saturday evenings. Remember that the apartment is located in a residential apartment block and my neighbours are probably not on holiday! - Please clean up any mess promptly. This means if you spill something: wipe it up. Keep food stored away and wash dishes daily to prevent any crawling visitors. - Dispose of rubbish promptly (the garbage room is on the ground floor). - If you find something is broken, or you accidentally break something, please notify me so that I can arrange"
57183,BONDI BEACHFRONT CENTRAL LOCATION,Apartment,$176.00,"{Wifi,Kitchen,Washer,Dryer,""Smoke detector"",""Hair dryer"",""Hot water"",""Coffee maker"",Refrigerator}",2,1,1.0,4,"This large, light-filled and artistically decorated older style one-bedroom apartment is in the best position in Bondi. Directly opposite the beach . Cafes and buses at the door. Its perfect for guests wanting to experience the heart of Bondi with all its cafes, natural beauty (views) and social activities. This apartment is a real gem and has unprecedented views and decor. BONDI BEACHFRONT BOHEMIAN APARTMENT Why stay at Ravesis? Half the price and twice the size. Same position only larger, and more comfortable. Beautiful older-style  Parisian style apartment overlooking Bondi Beach, steps to sand. Staying at this apartment is an experience.  Ideal for couples, executives and creatives. High ceilings, polished floorboards,piano, lots of natural light. Suited to guests who appreciate an artistically decorated space. The main living area is large, light, airy (has ceiling fans) , loads of room and has breathtaking views. The kitchenette is attached to the main living room and is fully eq","Large ceiling fans rather than air conditioning make for an airy, healthy environment. A half bath as well as shower makes for a more comfortable option. High ceilings give the feeling of space and airiness. A piano and collection of good books plus a view to die for. I have had a few guests mention noise levels from temporary occurences. These are all temporary and to be expected from such a thriving, holiday-vibe locality. Nothing is permanent here - its continually changing. Its a cosmopolitan environment. There has been mention of damaged window frames due to the beach . This does not affect the ambience.","no smoking or pets , and maximum of two people."
58506,"Studio Yindi @ Mosman, Sydney",Studio,$140.00,"{TV,Wifi,Kitchen,""Free street parking"",Washer,Dryer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,""Hot water"",Microwave,""Coffee maker"",Refrigerator,Stove}",4,1,1.0,2,"An open plan apartment, which opens onto a spacious garden.  Self-contained, bathroom, 1 double bedroom, plus 2 single beds in the open plan area.  Mosman is a smart Sydney suburb, the harbour on 3 sides, 15 - 18 minutes  from city centre by bus route 243. Studio Yindi is a self-contained open plan studio apartment on Level 1, which opens onto a spacious garden.  It includes bathroom, and a fully equipped basic but practical kitchen for self-catering.    There is 1 Queen size double bed in a separate bedroom.   The 2 single beds are in a screened area, that is part of the large open plan area.   The beds can be moved around in the open plan space to meet the needs of your group, for acoustic or visual privacy that best suits you.   We recently installed a second gas space heater that quickly makes the Studio snug after you come home from a long day touristing or working in the winter. ACCESS CONSIDERATIONS Please be aware that the Studio is at the rear of of our house,  which you acces","STANDARD OF ACCOMMODATION We pride ourselves on providing clean, comfortable accommodation, that represents excellent value for money.   We present Studio Yindi as the type of space we look for when we are travelling nationally or internationally ourselves.  If we can find places to stay that are excellent value for money then it means we can spend longer travelling for the same budget amount! If you are comfortable with comfortable but sometimes recycled furniture and Ikea style kitchen equipment, and do not expect an apartment styled ready to be published in a trendy home magazine, then you will feel very much at home.   But if you are expecting a 5 star hotel standard of accommodation then you will probably be more comfortable staying at a much more expensive Airbnb site,  or a 5 star hotel in the city centre.","Studio Yindi is located in a very quiet suburban area. We value highly the implied support we have from our neighbours.  The most important thing you can do is to be quiet in the evening after 10 pm.   In particular do not stand outside chatting noisily to friends who may be arriving or leaving. After 10 pm please do not chat outside in the garden.  And please close all the sliding doors, so that any conversations you are having inside Studio Yindi are not heard by our immediate neighbours who are probably trying to sleep. This is not a space you want to rent for a bunch of male or female friends, who want to let their hair down and party! Simply treat our home the same way you would expect friends or strangers to treat your home when you have them as guests! The Studio is self-contained with its own entrance, so you can come and go quite independently. We are flexible about check-in times, and understand that many guests are flying into Sydney on flights that usually arrived between a"
61721,"2br Eclectic Stylish Home, 2 mins to Bondi Beach",Apartment,$246.00,"{Internet,Wifi,Kitchen,""Paid parking off premises"",""Free street parking"",Washer,""Smoke detector"",""Hair dryer"",""Self check-in"",Lockbox,Bathtub,""Hot water"",""Coffee maker"",Refrigerator,Oven,Stove}",4,2,1.0,4,"Two blocks to the beach, surf and coffee. Large stylish apartment with separate eat in kitchen, lounge and balcony for the perfect relaxed Bondi stay. Five minutes walk to main shopping area, 3 minutes to transport to city, and beyond. Great cooker and fully equipped kitchen to cook at home and close to lots of cafés. Enjoy! Just 2 blocks from Bondi Beach and less to your morning coffee, this spacious apartment is on the first floor of a ninety-year old character block of four.  Plenty of cafes, supermarkets, shopping nearby and Bondi's main shopping precinct is less than 5 minutes walk away so you are right next to it but far enough away to ensure a quiet stay. Transport to the city and all of Sydney is less than 5 minutes away so you can have a beach holiday but also be in the city within 20 minutes. Accommodation consists of a massive master bedroom with queen bed and separate sun room with dedicated workspace, a second bedroom  with another queen size bed.  The large fully equipped",Sydney's a great city to visit. It has all the things cities offer and then there's all the things a holiday resort offers too.,"Perfect for couples or families. Smoking only allowed on balcony This is an owner occupied building so no big/loud parties, please.  Respect for neighbours is very important. Only the registered house guests to stay please Enjoy!"
65126,Large Garden Apartment in Bondi.,Apartment,$170.00,"{TV,Wifi,Kitchen,""Free street parking"",Washer,""Smoke detector"",""Hot water""}",4,2,1.0,4,"Huge light and airy 2 bdrm flat with dining room and sunroom. Great views from all windows and typical Bondi ornate ceilings. 7 mins to the beach.  Best backyard in Bondi ! This is an old school Bondi block offering comfort not luxury. Will suit creative folk.  Prefer environmentally aware people-( no red meat please: chicken and fish are just fine.)   My personal belongings will remain in the flat with plenty of space provided for guests. On 2 bus routes: -3 blocks (7 mins) from Bondi Beach. Large sunny apartment in funky 1930's huge Bondi duplex with dining room, 2 bdrms and private enclosed sunroom off the front bedroom. 3 blocks to the beach, 2 mins to bus stop to Bondi Junction.  Pleasant surrounds, enormous backyard, creative household. All bedding and towels, lovely kitchen, wireless internet, phone calls (mobile, local and interstate) and washing facilities. There are 3 living areas so plenty of privacy if it is for 2 couples. Rooms have queen sized beds and ornate ceilings.  P","This flat will suit environmentally aware, music and art loving people.  I would prefer guests to not eat or cook red meat in the house- but failing that to be meticulous about cleaning all cooking utensils, crockery and cutlery. There is a BBQ available outside. Please show respect to the planet -if you are not using an electronic appliance, turn it off at the wall. We are a dry continent so please be careful with water.","Enjoy yourself ! Clean up after yourself. Be thoughtful about red meat in the house - I prefer none ( chicken and fish are fine). No smoking in the house but back yard is fine. Socialising is fine but this is a no- party house. Please be considerate of neighbours. Leave a small footprint- conserve water, turn off all appliances when not in use. Almost close all windows before going out."
66009,Comfort & space in the heart of Paddington,Apartment,$100.00,"{TV,Wifi,Kitchen,Cat(s),Washer,""First aid kit"",""Hair dryer""}",4,1,1.0,3,"If you're looking for something comfortable & conveniently close to everything, this is the place for you! The apartment is bright and sunny, and occupies the whole top floor of an art deco block in the heart of Paddington. Seconds from Oxford Street shops and the 5 ways (lots of cafes and bars and a brilliant local supermarket). Easy access to both the City/Surry Hills or Bondi in the other direction. Other highlights are the view to Rushcutters Bay and a large, landscaped private garden. Large double bedroom with an adjoining sun room and desk, perfect for working travellers. The room is quiet and cool on hot summer nights, even though it's a short distance to all of Paddington's vibrant night life. Comfortable bedding & towels supplied, and there is plenty of wardrobe space. The sun room is populated with succulents and plants making it feel like your home away from home. If there are extra guests I have a double futon sofa bed in the lounge which is very comfortable. It is possible",,
66158,long term tenant wanted for furnished studio,Studio,$80.00,"{Kitchen,Elevator,Washer,Dryer,""Hair dryer""}",1,1,1.0,30,"POTTS POINT / Elizabeth Bay.  Quiet, private owner occupied historic security building Much loved and well maintained in excellent, central location.  Shoes Off apartment STRICTLY NO SMOKING. Stylish / Arty quiet and clean self contained studio apartment in historic building Steps to everything, CBD, parks, harbour Roof top laundry and clothes lines. Close to shops, farmers market, trains, parks and galleries Internet/Cable Ready. Clean, well-maintained historic building. The majority of apartments are owner occupied. Available for reliable professional / adult.  $130 fee required for cleaner. Security deposit required - amount negotiable. There is a security door at street level and a special key (blue) required to access building.   The guest is responsible for the cost of replacing this security key if it is lost ($250). STRICTLY NO SMOKING. (there is rooftop access for smokers) Please advise in advance arrival time so key collection can be arranged. As much as you like. I love peop",Prefer non/minimal meat eating.,No smoking. No Shoes. No parties. Single Occupancy Only. Low level noise.  Please respect the neighbours.
